fila_excel,campo,valor,Product ID,SITEID,motivo
1487,Stock,"-50,00",10150,H. DREAMS TEMUCO,negativo_revisar
1507,Stock,"-3,00",10150,H. SHERATON STGO.,negativo_revisar
1508,Stock,"-48,00",10150,H. W,negativo_revisar
1558,Stock,"-87,00",10154,CD CONCEPCION,negativo_revisar
1580,Stock,"-50,00",10154,H. SHERATON STGO.,negativo_revisar
1699,Stock,"-5,00",10162,CD SANTIAGO,negativo_revisar
3163,Stock,"-1,00",10271,CD CONCEPCION,negativo_revisar
3194,Stock,"-2,00",10271,H. ATTON EL BOSQUE,negativo_revisar
3199,Stock,"-1,00",10271,H. SANTA CRUZ,negativo_revisar
3237,Stock,"-1,00",10272,CORPORATIVO PERU,negativo_revisar
3492,Stock,"-7,00",10285,H. SANTA CRUZ,negativo_revisar
3494,Stock,"-1,00",10285,H. SHERATON STGO.,negativo_revisar
3495,Stock,"-6,00",10285,H. W,negativo_revisar
3515,Stock,"-2,00",10285,HOTEL WESTIN-PERU,negativo_revisar
3867,Stock,"-2,00",10311,ENJOY VINA DEL MAR,negativo_revisar
3912,Stock,"-1,00",10315,CD SANTIAGO,negativo_revisar
4391,Stock,"-3,00",10359,CD SANTIAGO,negativo_revisar
4737,Stock,"-30,00",10385,CD SANTIAGO,negativo_revisar
5025,Stock,"-5,00",10515,BOTAR CHILE,negativo_revisar
5050,Stock,"-1,00",10515,H. COURTYARD,negativo_revisar
5066,Stock,"-2,00",10515,H. ATTON EL BOSQUE,negativo_revisar
5071,Stock,"-7,00",10515,H. SANTA CRUZ,negativo_revisar
5074,Stock,"-4,00",10515,H. W,negativo_revisar
5251,Stock,"-12,00",10536,CD PTO. VARAS - ENJOY,negativo_revisar
5297,Stock,"-1,00",10545,H. SHERATON STGO.,negativo_revisar
5498,Stock,"-1,00",10585,CC TITANIUM,negativo_revisar
5503,Stock,"-10,00",10585,CD SANTIAGO,negativo_revisar
5529,Stock,"-1,00",10585,H. NH,negativo_revisar
5583,Stock,"-1,00",10587,CD SANTIAGO,negativo_revisar
5612,Stock,"-2,00",10587,H. RADISSON LA DEHESA,negativo_revisar
5776,Stock,"-3,00",10597,H. ATTON VITACURA,negativo_revisar
6745,Stock,"-5,00",10657,CC TITANIUM,negativo_revisar
6761,Stock,"-1,00",10657,H. ATTON VITACURA,negativo_revisar
6765,Stock,"-1,00",10657,H. SHERATON STGO.,negativo_revisar
6774,Stock,"-2,00",10658,CC TITANIUM,negativo_revisar
6776,Stock,"-2,00",10658,CD CONCEPCION,negativo_revisar
6783,Stock,"-4,00",10658,H. DREAMS PTA. ARENAS,negativo_revisar
6791,Stock,"-1,00",10658,H. MERCURE CNC,negativo_revisar
6805,Stock,"-1,00",10659,CD PTO. VARAS - ENJOY,negativo_revisar
6806,Stock,"-2,00",10659,CD SANTIAGO,negativo_revisar
6818,Stock,"-1,00",10659,H. W,negativo_revisar
6842,Stock,"-1,00",10661,SERVICIO TECNICO SANT,negativo_revisar
7254,Stock,"-3,00",10692,H. FUNDADOR,negativo_revisar
7295,Stock,"-1,00",10694,H. ALMACRUZ,negativo_revisar
7440,Stock,"-2,00",10699,H. MANDARIN SANTIAGO,negativo_revisar
7485,Stock,"-6,00",10703,CC TITANIUM,negativo_revisar
7658,Stock,"-1,00",10712,SERVICIO TECNICO SANT,negativo_revisar
7803,Stock,"-10,00",10724,H. DREAMS PTA. ARENAS,negativo_revisar
