fabricante,modelo,codigos,descripciones
3COM,2924,"[""10746"", ""11675""]","[""Switch de Red 24 Bocas"", ""Ficha mala""]"
ABSEN,D2,"[""11421"", ""12393"", ""13190"", ""PALED2.9D2_M2""]","[""Panel LED 50X50 Pixel 2.9"", ""Panel LED 0,5X05 Pixel 2.9 (No Usar Definitivo)"", ""Panel LED 50X50 Pixel 2.9"", ""Pantalla Pixel Pitch 2.9 x metro cuadrado (D2)""]"
ABSEN,D2V,"[""13065"", ""13191"", ""60652"", ""PALED2.9B_M2CL"", ""PALED2.9B_M2CO"", ""PALED2.9_M2CL"", ""PALED2.9_M2CO""]","[""Panel LED 50X50 Pixel 2.9 D2V (CO)"", ""Panel LED 50X50 Pixel 2.9 D2V (CL)"", ""Modulos de Led 50X50 (2da Compra)"", ""Pantalla Pixel Pitch 2.9  x metro cuadrado (Clase B CL)"", ""Pantalla Pixel Pitch 2.9  x metro cuadrado (Clase B CO)"", ""Pantalla Pixel Pitch 2.9 x metro cuadrado (CL)"", ""Pantalla Pixel Pitch 2.9 x metro cuadrado (CO)""]"
ABSEN,INDOOR 3.9,"[""12437"", ""12563""]","[""PANTALLA LED P3.9 INDOOR 1MTS cuadrado"", ""PANTALLA LED P3.9 INDOOR 1mts cuadrado""]"
ABSEN,NT2.6V2,"[""PALED2.6B_M2"", ""PALED2.6_M2""]","[""Pantalla Pixel Pitch 2.6 x metro cuadrado (Clase B)"", ""Pantalla Pixel Pitch 2.6 x metro cuadrado""]"
ABSEN,NT2.9,"[""PE LED01"", ""PE LED02""]","[""Panel LED P2.9  1.00 x 0.50 m"", ""Panel LED P2.9  0.50 x 0.50 m""]"
ABSEN,PL 2.9 LITE,"[""9596"", ""CO LED01""]","[""Pantalla LED 2.9 Pitch | Modulo 50 x 50 cm"", ""Pantalla LED 2.9 Pitch | Modulo 50 x 50 cm""]"
ABSEN,PL3.9LITE V10,"[""MOD3.9"", ""PALED3.9B_M2"", ""PALED3.9_M2""]","[""Modulo Pantalla Led Pixel Pich 3.9 50x50 cms"", ""Pantalla Pixel Pitch 3.9  x metro cuadrado (Clase B)"", ""Pantalla Pixel Pitch 3.9 x metro cuadrado""]"
ABSEN,S3,"[""MODLED25"", ""PALED3.9BS3_M2""]","[""Modulo LED 3.9mm 50X50"", ""Pantalla pixel ptich 3.9 x metro cuadrado (Clase B S3)""]"
ALESIS,3630,"[""10654"", ""11743""]","[""Compresor con gate para S.A."", ""Compresor con Gate""]"
ALESIS,STUDIO 12R,"[""11634"", ""MIXALE12""]","[""Consola Audio 12 Canales"", ""Mezclador 12 Canales""]"
AMERICAN AUDIO,16 AWG,"[""10208"", ""10209""]","[""Cable BNC M-M 30 metros"", ""Cable BNC M-M 20 metros""]"
AMERICAN PRO,FLATTRITEC,"[""12466"", ""13318""]","[""Optipar Led Color 7 Leds 7x8w"", ""Optipar Led Color 7 Leds 7x8w""]"
AOC,E2239FWT,"[""11511"", ""PE MON21""]","[""Monitor Multi View 21.5\""\"""", ""Monitor 21.5\""\"" Multi View""]"
APC,BX700UI,"[""30060"", ""CO ACC72""]","[""UPS 700VA"", ""UPS""]"
APPLE,A3204,"[""MX ACC01"", ""MX ACC03""]","[""Magic Mouse"", ""Lente para videoproyector tiro corto""]"
APPLE,A3389,"[""CO PC47"", ""MX PC01""]","[""Mac Studio | M3 28CPU - RAM 256 GB 1-TB"", ""Mac Studio | M3 | 1TB""]"
APPLE,GENERICO,"[""ADAPPLE3.5"", ""ADAPPLEUSBC""]","[""Adaptador lightning a a aux 3,5"", ""Adaptador multipuerto de USB-C a AV digital""]"
APPLE,MV932CI/A,"[""SK162789341"", ""SK175955027""]","[""Macbook Pro Retina T.Bar"", ""Macbook Touch Bar  (No inlcuye Capturas)""]"
ATEN,VS481A,"[""40405"", ""CO DIS02"", ""CO VID06""]","[""Distribuidor HDMI 1X3"", ""Distribuidor HDMI 1x3"", ""Switch HDMI""]"
AV MATRIX,UC2018,"[""CAPHDMI2018"", ""PE CAP04""]","[""Capturadora de Video HDMI/SDI-USB 3.1"", ""Captura SDI / HDMI""]"
AVOLITES,TITAN ONE,"[""PE ILU16"", ""PE ILU32"", ""SK165802724""]","[""Consola de Iluminación (Interfaz DMX Titan One)"", ""Control de Luces"", ""Consola de Iluminación (Interfaz DMX Titan One)""]"
BEHRINGER,CT100,"[""PE HER03"", ""XXX268""]","[""Testeador cables Canon y audio"", ""Testeador cables Canon y audio""]"
BEHRINGER,DI100,"[""11022"", ""CO CAD01""]","[""Caja Directa"", ""Caja Directa Activa""]"
BEHRINGER,EMC-8000,"[""11141"", ""21153""]","[""Microfono Alambrico Condensador"", ""Microfono Alambrico de Condensador""]"
BEHRINGER,PMH-2000,"[""10040"", ""12413""]","[""Power Mixer Behringer 10 Canales XLR"", ""Power Mixer Behringer""]"
BEHRINGER,PMP-2000,"[""PE AUD12"", ""XXX114""]","[""EuroPower Mixer. 8 ch / 250x2 Wrms"", ""EuroPower Mixer. 8 ch / 250x2 Wrms""]"
BEHRINGER,PMP530M,"[""11575"", ""PE AUD33""]","[""Power Mixer. 5 ch / 300 Watts"", ""Consola Power Mixer. 5ch / 300 Watts""]"
