campo,Product ID,valores
CANRENT,10354,"[""NOTRENTABLE"", ""RENTABLE""]"
CANRENT,10355,"[""NOTRENTABLE"", ""RENTABLE""]"
CANRENT,10554,"[""NOTRENTABLE"", ""RENTABLE""]"
CANRENT,10749,"[""NOTRENTABLE"", ""RENTABLE""]"
CANRENT,10765,"[""RENTABLE"", ""NOTRENTABLE""]"
CANRENT,10848,"[""RENTABLE"", ""NOTRENTABLE""]"
CANRENT,11013,"[""NOTRENTABLE"", ""RENTABLE""]"
CANRENT,11040,"[""NOTRENTABLE"", ""RENTABLE""]"
CANRENT,11134,"[""NOTRENTABLE"", ""RENTABLE""]"
CANRENT,11351,"[""NOTRENTABLE"", ""RENTABLE""]"
CANRENT,11432,"[""NOTRENTABLE"", ""RENTABLE""]"
CANRENT,11467,"[""NOTRENTABLE"", ""RENTABLE""]"
CANRENT,11479,"[""NOTRENTABLE"", ""RENTABLE""]"
CANRENT,12114,"[""NOTRENTABLE"", ""RENTABLE""]"
CANRENT,12145,"[""NOTRENTABLE"", ""RENTABLE""]"
CANRENT,12157,"[""NOTRENTABLE"", ""RENTABLE""]"
CANRENT,12159,"[""RENTABLE"", ""NOTRENTABLE""]"
CANRENT,12181,"[""NOTRENTABLE"", ""RENTABLE""]"
CANRENT,12494,"[""RENTABLE"", ""NOTRENTABLE""]"
CANRENT,124955,"[""NOTRENTABLE"", ""RENTABLE""]"
CANRENT,12583,"[""NOTRENTABLE"", ""RENTABLE""]"
CANRENT,12771,"[""NOTRENTABLE"", ""RENTABLE""]"
CANRENT,12801,"[""RENTABLE"", ""NOTRENTABLE""]"
CANRENT,12949,"[""RENTABLE"", ""NOTRENTABLE""]"
CANRENT,13512,"[""NOTRENTABLE"", ""RENTABLE""]"
CANRENT,18497,"[""RENTABLE"", ""NOTRENTABLE""]"
CANRENT,4171,"[""RENTABLE"", ""NOTRENTABLE""]"
CANRENT,CO ACC14,"[""RENTABLE"", ""NOTRENTABLE""]"
CANRENT,CO AUT07,"[""NOTRENTABLE"", ""RENTABLE""]"
CANRENT,CO PRY01,"[""RENTABLE"", ""NOTRENTABLE""]"
CANRENT,PE ACC27,"[""NOTRENTABLE"", ""RENTABLE""]"
CANRENT,PE HER02,"[""RENTABLE"", ""NOTRENTABLE""]"
CANRENT,PE IMP02,"[""NOTRENTABLE"", ""RENTABLE""]"
CANRENT,PE KWS44,"[""RENTABLE"", ""NOTRENTABLE""]"
CANRENT,PE MON02,"[""NOTRENTABLE"", ""RENTABLE""]"
CANRENT,PE MON03,"[""RENTABLE"", ""NOTRENTABLE""]"
CANRENT,PE MON05,"[""RENTABLE"", ""NOTRENTABLE""]"
CANRENT,PE SOP02,"[""NOTRENTABLE"", ""RENTABLE""]"
CANRENT,PE SOP03,"[""NOTRENTABLE"", ""RENTABLE""]"
