campo,filas,vacios,porcentaje_vacio,distintos_originales_no_vacios,distintos_sin_espacios_exteriores,filas_con_espacios_exteriores,tokens_posible_ausencia,ejemplos_frecuentes
Product ID,57011,0,0.0,7890,7890,0,0,"[{""valor"": ""CO IMP04"", ""filas"": 96}, {""valor"": ""5464"", ""filas"": 95}, {""valor"": ""11553"", ""filas"": 88}, {""valor"": ""10515"", ""filas"": 82}, {""valor"": ""11231"", ""filas"": 79}]"
Description,57011,0,0.0,6869,6869,34,0,"[{""valor"": ""Caja Directa"", ""filas"": 466}, {""valor"": ""Microfono Inalambrico Lavalier / Solapa"", ""filas"": 249}, {""valor"": ""Sistema de Audio 2.1"", ""filas"": 225}, {""valor"": ""Computador Portatil"", ""filas"": 211}, {""valor"": ""Pasa Slide"", ""filas"": 161}]"
Stock,57011,4,0.007,319,319,0,0,"[{""valor"": ""0,00"", ""filas"": 45944}, {""valor"": ""1,00"", ""filas"": 4228}, {""valor"": ""2,00"", ""filas"": 1863}, {""valor"": ""3,00"", ""filas"": 870}, {""valor"": ""4,00"", ""filas"": 731}]"
Type,57011,1,0.0018,4,4,0,0,"[{""valor"": ""ITEM"", ""filas"": 55899}, {""valor"": ""MISCCHARGE"", ""filas"": 737}, {""valor"": ""LABOR"", ""filas"": 359}, {""valor"": ""PARTS"", ""filas"": 15}]"
ITEMCATEGORY,57011,0,0.0,2,2,0,0,"[{""valor"": ""SERIAL"", ""filas"": 37045}, {""valor"": ""NONSERIAL"", ""filas"": 19966}]"
Package,57011,0,0.0,2,2,0,0,"[{""valor"": ""ITEM"", ""filas"": 51080}, {""valor"": ""PACKAGE"", ""filas"": 5931}]"
Cost,57011,0,0.0,4902,4902,0,0,"[{""valor"": ""0,00"", ""filas"": 49416}, {""valor"": ""5.000,00"", ""filas"": 117}, {""valor"": ""10.000,00"", ""filas"": 114}, {""valor"": ""20.000,00"", ""filas"": 76}, {""valor"": ""15.000,00"", ""filas"": 66}]"
Replacement Cost,57011,195,0.342,1975,1975,0,0,"[{""valor"": ""0,00"", ""filas"": 31556}, {""valor"": ""30.000,00"", ""filas"": 785}, {""valor"": ""20.000,00"", ""filas"": 646}, {""valor"": ""15.000,00"", ""filas"": 607}, {""valor"": ""10.000,00"", ""filas"": 605}]"
SITENAME,57011,4,0.007,137,137,0,0,"[{""valor"": ""CD Santiago"", ""filas"": 3530}, {""valor"": ""CORPORATIVO PERU"", ""filas"": 2422}, {""valor"": ""Administración Colombia"", ""filas"": 2026}, {""valor"": ""CD Bogota"", ""filas"": 1824}, {""valor"": ""H. W"", ""filas"": 1542}]"
MANUFACTURER,57011,25355,44.4739,622,619,26,80,"[{""valor"": ""SHURE"", ""filas"": 2067}, {""valor"": ""KRAMER"", ""filas"": 2053}, {""valor"": ""NEC"", ""filas"": 1506}, {""valor"": ""BOSE"", ""filas"": 1390}, {""valor"": ""LG"", ""filas"": 1216}]"
MODEL,57011,28061,49.2203,2435,2435,21,70,"[{""valor"": ""L1 II"", ""filas"": 262}, {""valor"": ""SLX-2"", ""filas"": 136}, {""valor"": ""L1 COMPACT"", ""filas"": 111}, {""valor"": ""SLX-4"", ""filas"": 107}, {""valor"": ""T1"", ""filas"": 106}]"
SITEID,57011,4,0.007,137,137,0,0,"[{""valor"": ""CD SANTIAGO"", ""filas"": 3530}, {""valor"": ""CORPORATIVO PERU"", ""filas"": 2422}, {""valor"": ""ADMINISTRACIÓN COLOMB"", ""filas"": 2026}, {""valor"": ""CD BOGOTA"", ""filas"": 1824}, {""valor"": ""H. W"", ""filas"": 1542}]"
Availability Group,57011,39222,68.7972,12,12,0,0,"[{""valor"": ""VIDEO"", ""filas"": 6517}, {""valor"": ""AUDIO"", ""filas"": 4947}, {""valor"": ""ACCESORIOS"", ""filas"": 2236}, {""valor"": ""INFORMATICA"", ""filas"": 1629}, {""valor"": ""ELECTRICIDAD"", ""filas"": 889}]"
ACCUMULATEDDEPRECIATIONGLCODE,57011,57011,100.0,0,0,0,0,[]
Report Group,57011,42449,74.4576,87,87,0,0,"[{""valor"": ""PROYECTORES"", ""filas"": 1342}, {""valor"": ""ALTAVOCES"", ""filas"": 1140}, {""valor"": ""ACCESORIOS"", ""filas"": 1098}, {""valor"": ""CABLES"", ""filas"": 901}, {""valor"": ""MICRÓFONOS"", ""filas"": 888}]"
WRITEOFFGLCODE,57011,57011,100.0,0,0,0,0,[]
Bin Loaction,57011,56999,99.979,2,2,0,0,"[{""valor"": ""N"", ""filas"": 11}, {""valor"": ""1"", ""filas"": 1}]"
CANRENT,57011,0,0.0,2,2,0,0,"[{""valor"": ""RENTABLE"", ""filas"": 55588}, {""valor"": ""NOTRENTABLE"", ""filas"": 1423}]"
CANSELL,57011,0,0.0,2,2,0,0,"[{""valor"": ""SELLABLE"", ""filas"": 30261}, {""valor"": ""NOTSELLABLE"", ""filas"": 26750}]"
CANSUBRENT,57011,0,0.0,2,2,0,0,"[{""valor"": ""SUBRENT"", ""filas"": 55616}, {""valor"": ""NOTSUBRENT"", ""filas"": 1395}]"
COGSGROUP,57011,57011,100.0,0,0,0,0,[]
TAXGROUP,57011,56853,99.7229,4,4,0,0,"[{""valor"": ""MIAMI"", ""filas"": 95}, {""valor"": ""PERU"", ""filas"": 55}, {""valor"": ""0%"", ""filas"": 7}, {""valor"": ""ITEM GROUP"", ""filas"": 1}]"
CostoTotal,57011,4,0.007,3443,3443,0,0,"[{""valor"": ""0,00"", ""filas"": 52758}, {""valor"": ""10.000,00"", ""filas"": 42}, {""valor"": ""20.000,00"", ""filas"": 33}, {""valor"": ""30.000,00"", ""filas"": 26}, {""valor"": ""150.000,00"", ""filas"": 23}]"
